variable_id,variable_name,lob,Country,unit,comments,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
premiums,Premiums,aviation,ar,USD,,,,,,,,,,26637753.87,33028849.42,36217803.74,33416954.59,34464903.09,29533201.78,
premiums,Premiums,marine,ae,USD,Assumption based,,,,,,,105054647.3,121987500.5,129115453.2,142717091.4,148766208.5,148033750.3,109100962.8,,
premiums,Premiums,aviation,at,USD,,,34401415.52,34916567.45,28725296.34,24854059.31,21731510.23,19116257.44,15542777.23,11270517.92,10368349.31,11799137.35,10861810.46,10593369.41,,
premiums,Premiums,marine,ar,USD,,,,,,,,,,22213234.98,25937413.97,26093048.14,25712559.97,26663818.9,22918032.19,
premiums,Premiums,aviation,br,USD,,87317721.27,119642441.1,142979487.1,125066071.5,151698786.6,103552060.7,209582555.8,182212523.4,181489169.1,216823828.3,200482152.5,218884491.3,179790658.6,196249554.1,
premiums,Premiums,aviation,ca,USD,,,,,257217049.1,240202334.7,262589507.9,257549804.9,281047620.3,278103236.4,280434304.2,278660400.2,225654210.9,204302467.2,255990226.9,
premiums,Premiums,marine,au,USD,Assumption based,,,,,105165963.2,105817117.9,120524339.4,120817013,119093972.7,145442966.9,167415662.5,170960348.2,163017910.9,153903233.5,129563518.8
premiums,Premiums,aviation,cl,USD,,,,,28817976.24,31259587.6,26590354.28,24937764,33828695.88,29510627.58,32542120.57,35855960.97,32160523.36,32591567.81,24961866.28,
premiums,Premiums,marine,be,USD,Assumption based,33351600.83,42689020.8,57206351.53,62896307.16,60686214.96,71754971.41,71905836.4,89272438.61,74047075.6,68678775.19,80816518.9,63830291.15,58790185.46,,
premiums,Premiums,aviation,co,USD,,,,,,,,,42637780.46,44830919.95,62180651.22,66432713.81,64349606.57,19202082.56,38701099.24,
premiums,Premiums,marine,bh,USD,Assumption based,,,,,,,4297153.561,4670691.762,4919522.067,4982137.289,4421368.338,4359424.208,3785590.001,,
premiums,Premiums,aviation,ec,USD,,,,,,,,,13452000,23525000,33540000,37282000,42623000,52830000,46130000,
premiums,Premiums,marine,br,USD,,31268661.71,32416457.28,36891068.73,42594696.55,55175326.57,67317748.45,80144501.82,103435163.2,113355172.2,133426632.1,168843850.2,140730672.4,165890668.7,169231050.8,
premiums,Premiums,aviation,eg,USD,,,,,,,,34889256,30698310.4,30531802.23,34996278.23,34328128.69,33125321.49,29878178.86,20934876.85,
premiums,Premiums,marine,bw,USD,Assumption based,,,,,,,,,,,,924654.1395,330560.3214,,
